epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.64113,2.96815,4.1869,1.57257,0,0,0,0,2.22017,4.1993,1.17449,5.001e-05,5.001e-05,5.001e-05
2,3.72939,2.39189,4.03425,1.46856,0,0,0,0,2.11276,4.15793,1.12835,0.000115535,0.000115535,0.000115535
3,4.80842,2.09994,3.88605,1.27575,0.00293,0.03571,0.00158,0.001,2.01051,4.12515,1.07661,0.000179739,0.000179739,0.000179739
4,5.86168,2.09517,3.70883,1.23954,0.00797,0.11695,0.00495,0.00161,1.97538,4.06441,1.05044,0.000242624,0.000242624,0.000242624
5,6.94019,2.10769,3.55841,1.19952,0.00989,0.15266,0.00678,0.00254,1.98399,3.99849,1.0351,0.000304187,0.000304187,0.000304187
6,7.98377,1.92167,3.23333,1.14465,0.0105,0.16457,0.00707,0.00312,1.98272,3.9136,1.00083,0.000364431,0.000364431,0.000364431
7,9.07213,2.22986,3.15486,1.14752,0.0105,0.16457,0.00707,0.00312,1.98272,3.9136,1.00083,0.000423355,0.000423355,0.000423355
8,10.1402,2.07996,2.77732,1.11088,0.01032,0.16457,0.0214,0.01502,1.99654,3.79493,0.9959,0.000480958,0.000480958,0.000480958
9,11.2124,2.00141,2.66961,1.13894,0.01951,0.33123,0.15615,0.08481,2.01487,3.55049,0.97509,0.000537241,0.000537241,0.000537241
10,12.2888,1.99314,2.38863,1.09797,0.01951,0.33123,0.15615,0.08481,2.01487,3.55049,0.97509,0.000592203,0.000592203,0.000592203
11,13.3628,1.79783,2.00887,1.06279,0.85635,0.08333,0.22362,0.10915,1.94762,3.2394,0.96506,0.000645846,0.000645846,0.000645846
12,14.5412,1.88974,2.23564,1.10971,0.85635,0.08333,0.22362,0.10915,1.94762,3.2394,0.96506,0.000698168,0.000698168,0.000698168
13,15.6082,2.01724,2.05311,1.09325,0.9236,0.06645,0.23716,0.12546,1.95479,2.95344,1.03017,0.00074917,0.00074917,0.00074917
14,16.6586,1.88904,1.79282,1.03775,0.9236,0.06645,0.23716,0.12546,1.95479,2.95344,1.03017,0.000798851,0.000798851,0.000798851
15,17.725,1.98201,1.99982,1.08496,0.83489,0.09524,0.23136,0.13462,1.92699,2.73806,1.02236,0.000847213,0.000847213,0.000847213
16,18.7607,1.87306,1.9844,1.10046,0.83489,0.09524,0.23136,0.13462,1.92699,2.73806,1.02236,0.000894254,0.000894254,0.000894254
17,19.8276,1.77139,1.91536,1.07788,0.83489,0.09524,0.23136,0.13462,1.92699,2.73806,1.02236,0.000939975,0.000939975,0.000939975
18,20.9047,2.04475,2.0003,1.0651,0.36901,0.20127,0.29555,0.16487,1.86408,2.56099,0.98474,0.000984375,0.000984375,0.000984375
19,21.9618,1.88569,1.93458,1.0504,0.36901,0.20127,0.29555,0.16487,1.86408,2.56099,0.98474,0.00102746,0.00102746,0.00102746
20,23.0272,1.9111,1.9753,1.09649,0.36901,0.20127,0.29555,0.16487,1.86408,2.56099,0.98474,0.00106922,0.00106922,0.00106922
21,24.0725,1.79411,1.90486,1.07625,0.36901,0.20127,0.29555,0.16487,1.86408,2.56099,0.98474,0.00110966,0.00110966,0.00110966
22,25.1495,1.65995,1.62415,1.03471,0.35734,0.33333,0.37305,0.20607,1.80746,2.11534,0.9806,0.00114877,0.00114877,0.00114877
23,26.244,1.8111,1.89624,1.11842,0.35734,0.33333,0.37305,0.20607,1.80746,2.11534,0.9806,0.00118657,0.00118657,0.00118657
24,27.4107,1.78473,1.80215,1.0567,0.35734,0.33333,0.37305,0.20607,1.80746,2.11534,0.9806,0.00122305,0.00122305,0.00122305
25,28.4704,1.70526,1.69718,1.02322,0.35734,0.33333,0.37305,0.20607,1.80746,2.11534,0.9806,0.00125821,0.00125821,0.00125821
26,29.5633,1.75762,1.6609,1.00682,0.87995,0.35714,0.40316,0.23468,1.78939,1.87462,0.97333,0.00125442,0.00125442,0.00125442
27,30.6167,1.65267,1.55502,1.02009,0.87995,0.35714,0.40316,0.23468,1.78939,1.87462,0.97333,0.00123791,0.00123791,0.00123791
28,31.681,1.76813,1.64522,1.03372,0.87995,0.35714,0.40316,0.23468,1.78939,1.87462,0.97333,0.00122141,0.00122141,0.00122141
29,32.7379,1.57353,1.47914,0.98367,0.87995,0.35714,0.40316,0.23468,1.78939,1.87462,0.97333,0.00120491,0.00120491,0.00120491
30,33.7984,1.77829,1.56009,1.02155,0.3805,0.4307,0.44901,0.25298,1.74282,1.68954,0.96703,0.0011884,0.0011884,0.0011884
